Date,Client,Poids reçu
21/11/2024,PETRO IVOIRE,1 210 354
21/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,172 497
21/11/2024,PETRO IVOIRE,754 029
21/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,277 362
20/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,259 172
20/11/2024,PETRO IVOIRE,1 251 523
16/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,157 781
16/11/2024,PETRO IVOIRE,662 323
15/11/2024,PETRO IVOIRE,21 077
15/11/2024,VIVO ENERGY CÔTE D'IVOIRE,1 500 000
15/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,4 868
14/11/2024,PETRO IVOIRE,1 180 111
14/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,320 553
13/11/2024,PETRO IVOIRE,1 153 110
13/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,326 041
10/11/2024,PETRO IVOIRE,1 200 039
10/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,301 413
09/11/2024,PETRO IVOIRE,1 226 875
09/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,273 720
08/11/2024,PETRO IVOIRE,1 230 763
08/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,274 590
05/11/2024,VIVO ENERGY CÔTE D'IVOIRE,399 849
05/11/2024,PETRO IVOIRE,243 168
05/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,45 625
03/11/2024,VIVO ENERGY CÔTE D'IVOIRE,1 100 151
01/11/2024,PETRO IVOIRE,2 458 763
01/11/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,534 555
29/10/2024,VIVO ENERGY CÔTE D'IVOIRE,200 000
29/10/2024,PETRO IVOIRE,1 011 704
29/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,188 402
27/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,486 876
27/10/2024,PETRO IVOIRE,2 517 047
24/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,93 999
24/10/2024,PETRO IVOIRE,519 414
23/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,264 057
23/10/2024,PETRO IVOIRE,1 262 342
22/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,442 706
22/10/2024,PETRO IVOIRE,1 962 096
22/10/2024,VIVO ENERGY CÔTE D'IVOIRE,600 000
19/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,166 990
19/10/2024,PETRO IVOIRE,783 073
18/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,542 777
18/10/2024,PETRO IVOIRE,2 446 025
17/10/2024,PETRO IVOIRE,1 236 914
17/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,265 366
12/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,302 533
12/10/2024,PETRO IVOIRE,1 185 760
11/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,320 213
11/10/2024,PETRO IVOIRE,1 181 988
10/10/2024,VIVO ENERGY CÔTE D'IVOIRE,1 500 000
10/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,334
10/10/2024,PETRO IVOIRE,534
08/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,90 029
08/10/2024,PETRO IVOIRE,413 319
05/10/2024,PETRO IVOIRE,1 254 925
05/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,270 725
04/10/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,269 467
04/10/2024,PETRO IVOIRE,1 249 091
02/10/2024,PETRO IVOIRE,702 453
01/10/2024,VIVO ENERGY CÔTE D'IVOIRE,1 300 000
01/10/2024,PETRO IVOIRE,201 963
30/09/2024,PETRO IVOIRE,2 339 660
30/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,464 786
30/09/2024,VIVO ENERGY CÔTE D'IVOIRE,200 000
27/09/2024,PETRO IVOIRE,2 984 736
27/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,806 861
27/09/2024,VIVO ENERGY CÔTE D'IVOIRE,200 000
24/09/2024,PETRO IVOIRE,935 203
24/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,314 925
23/09/2024,PETRO IVOIRE,2 065 024
23/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,695 290
22/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,123 334
22/09/2024,PETRO IVOIRE,375 642
22/09/2024,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
19/09/2024,PETRO IVOIRE,618 294
19/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,180 234
14/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,113 768
14/09/2024,PETRO IVOIRE,477 288
13/09/2024,PETRO IVOIRE,1 238 268
13/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,295 557
12/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,277 369
12/09/2024,PETRO IVOIRE,1 195 217
11/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,96 207
11/09/2024,PETRO IVOIRE,415 897
11/09/2024,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
07/09/2024,PETRO IVOIRE,3 359 311
07/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,1 089 375
04/09/2024,VIVO ENERGY CÔTE D'IVOIRE,1 500 000
04/09/2024,PETRO IVOIRE,743 091
04/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,247 048
03/09/2024,PETRO IVOIRE,1 077 035
03/09/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,410 578
28/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,162 231
28/08/2024,PETRO IVOIRE,643 826
27/08/2024,PETRO IVOIRE,1 192 508
27/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,300 374
25/08/2024,VIVO ENERGY CÔTE D'IVOIRE,800 000
25/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,149 899
25/08/2024,PETRO IVOIRE,539 672
22/08/2024,PETRO IVOIRE,393 659
22/08/2024,PETRO IVOIRE,1 057 025
22/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,238 883
22/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,88 975
21/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,97 171
21/08/2024,PETRO IVOIRE,413 307
21/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,286 798
21/08/2024,PETRO IVOIRE,1 220 200
21/08/2024,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
18/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,207 470
18/08/2024,PETRO IVOIRE,982 700
17/08/2024,PETRO IVOIRE,1 257 567
17/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,265 413
17/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,266 767
17/08/2024,PETRO IVOIRE,1 263 988
13/08/2024,PETRO IVOIRE,793 878
13/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,199 622
13/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,302 112
13/08/2024,PETRO IVOIRE,1 201 471
09/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,323 753
09/08/2024,PETRO IVOIRE,1 193 157
09/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,199 895
09/08/2024,PETRO IVOIRE,702 678
07/08/2024,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
07/08/2024,PETRO IVOIRE,1 193 194
07/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,323 762
07/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,108 369
07/08/2024,PETRO IVOIRE,398 931
02/08/2024,PETRO IVOIRE,1 191 886
02/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,311 900
01/08/2024,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
01/08/2024,PETRO IVOIRE,1 563 192
01/08/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,426 979
31/07/2024,PETRO IVOIRE,1 585 139
25/07/2024,PETRO IVOIRE,1 093 999
25/07/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,295 168
24/07/2024,VIVO ENERGY CÔTE D'IVOIRE,800 000
24/07/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,443 135
24/07/2024,PETRO IVOIRE,1 787 175
19/07/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,515 500
19/07/2024,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
19/07/2024,PETRO IVOIRE,2 063 724
14/07/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,121 485
14/07/2024,PETRO IVOIRE,323 147
14/07/2024,VIVO ENERGY CÔTE D'IVOIRE,200 000
13/07/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,829 997
13/07/2024,PETRO IVOIRE,2 207 320
09/07/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,507 748
09/07/2024,PETRO IVOIRE,1 200 234
09/07/2024,VIVO ENERGY CÔTE D'IVOIRE,300 000
07/07/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,445 807
07/07/2024,PETRO IVOIRE,1 053 861
04/07/2024,PETRO IVOIRE,677 321
04/07/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,220 505
03/07/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,497 885
03/07/2024,PETRO IVOIRE,1 529 719
03/07/2024,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
28/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,104 844
28/06/2024,PETRO IVOIRE,400 214
27/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,307 571
27/06/2024,PETRO IVOIRE,1 191 442
26/06/2024,PETRO IVOIRE,834 608
26/06/2024,VIVO ENERGY CÔTE D'IVOIRE,450 000
26/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,215 548
23/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,184 678
23/06/2024,PETRO IVOIRE,807 495
23/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,0
21/06/2024,PETRO IVOIRE,1 189 634
21/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,324 114
20/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,205 452
20/06/2024,PETRO IVOIRE,804 435
20/06/2024,VIVO ENERGY CÔTE D'IVOIRE,500 000
16/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,225 502
16/06/2024,PETRO IVOIRE,771 688
15/06/2024,PETRO IVOIRE,1 026 608
15/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,279 769
13/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,167 578
13/06/2024,PETRO IVOIRE,614 163
13/06/2024,VIVO ENERGY CÔTE D'IVOIRE,700 000
10/06/2024,PETRO IVOIRE,580 209
10/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,120 748
08/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,297 072
08/06/2024,PETRO IVOIRE,1 172 972
07/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,302 763
07/06/2024,PETRO IVOIRE,1 195 475
04/06/2024,PETRO IVOIRE,1 043 396
04/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,360 837
02/06/2024,PETRO IVOIRE,208 504
02/06/2024,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
02/06/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,74 252
31/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,396 293
31/05/2024,PETRO IVOIRE,1 116 863
28/05/2024,PETRO IVOIRE,799 321
28/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,223 934
27/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,323 409
27/05/2024,PETRO IVOIRE,1 044 596
26/05/2024,PETRO IVOIRE,774 536
26/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,239 641
26/05/2024,VIVO ENERGY CÔTE D'IVOIRE,500 000
24/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,340 318
24/05/2024,PETRO IVOIRE,1 150 877
18/05/2024,PETRO IVOIRE,1 237 986
18/05/2024,VIVO ENERGY CÔTE D'IVOIRE,200 000
18/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,265 071
18/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,227 164
18/05/2024,PETRO IVOIRE,1 061 512
14/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,157 097
14/05/2024,PETRO IVOIRE,956 212
12/05/2024,PETRO IVOIRE,927 950
12/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,180 324
11/05/2024,VIVO ENERGY CÔTE D'IVOIRE,700 000
11/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,131 539
11/05/2024,PETRO IVOIRE,678 281
08/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,331 534
08/05/2024,PETRO IVOIRE,395 586
08/05/2024,PETRO IVOIRE,1 189 902
08/05/2024,VIVO ENERGY CÔTE D'IVOIRE,300 000
08/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,109 815
05/05/2024,PETRO IVOIRE,1 016 909
05/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,216 341
04/05/2024,PETRO IVOIRE,666 853
04/05/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,141 925
04/05/2024,VIVO ENERGY CÔTE D'IVOIRE,700 000
30/04/2024,VIVO ENERGY CÔTE D'IVOIRE,200 000
30/04/2024,PETRO IVOIRE,1 516 552
30/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,238 617
27/04/2024,VIVO ENERGY CÔTE D'IVOIRE,500 000
27/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,417 936
27/04/2024,PETRO IVOIRE,2 076 704
23/04/2024,PETRO IVOIRE,416 204
23/04/2024,PETRO IVOIRE,1 209 576
23/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,284 703
23/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,110 976
22/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,245 862
22/04/2024,PETRO IVOIRE,1 044 964
22/04/2024,VIVO ENERGY CÔTE D'IVOIRE,200 000
16/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,231 345
16/04/2024,PETRO IVOIRE,928 370
15/04/2024,PETRO IVOIRE,1 200 348
15/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,287 149
13/04/2024,PETRO IVOIRE,1 040 473
13/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,275 246
13/04/2024,VIVO ENERGY CÔTE D'IVOIRE,200 000
10/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,320 086
10/04/2024,PETRO IVOIRE,985 591
08/04/2024,PETRO IVOIRE,662 247
08/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,184 252
07/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,106 740
07/04/2024,PETRO IVOIRE,1 156 339
07/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,322 137
07/04/2024,PETRO IVOIRE,384 500
03/04/2024,PETRO IVOIRE,837 514
03/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,150 444
02/04/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,153 820
02/04/2024,VIVO ENERGY CÔTE D'IVOIRE,500 000
02/04/2024,PETRO IVOIRE,856 189
28/03/2024,PETRO IVOIRE,1 012 598
28/03/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,237 879
27/03/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,284 622
27/03/2024,PETRO IVOIRE,1 151 375
26/03/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,289 823
26/03/2024,PETRO IVOIRE,1 163 756
21/03/2024,PETRO IVOIRE,1 008 377
21/03/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,216 097
19/03/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,258 568
19/03/2024,PETRO IVOIRE,1 185 525
19/03/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,270 243
19/03/2024,PETRO IVOIRE,1 238 894
14/03/2024,PETRO IVOIRE,891 908
14/03/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,229 619
13/03/2024,PETRO IVOIRE,1 076 146
13/03/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,315 746
12/03/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,331 193
12/03/2024,PETRO IVOIRE,1 128 714
06/03/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,310 547
06/03/2024,PETRO IVOIRE,1 124 753
06/03/2024,PETRO IVOIRE,442 296
06/03/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,121 812
05/03/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,289 918
05/03/2024,PETRO IVOIRE,1 135 167
28/02/2024,PETRO IVOIRE,553 163
28/02/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,386 979
28/02/2024,PETRO IVOIRE,1 062 398
28/02/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,201 453
24/02/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,382 652
24/02/2024,PETRO IVOIRE,1 069 168
23/02/2024,PETRO IVOIRE,1 050 255
23/02/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,363 740
18/02/2024,PETRO IVOIRE,363 672
18/02/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,376 821
18/02/2024,PETRO IVOIRE,1 029 921
18/02/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,135 122
17/02/2024,PETRO IVOIRE,1 065 454
17/02/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,389 826
10/02/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,212 950
10/02/2024,PETRO IVOIRE,792 595
09/02/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,292 497
09/02/2024,PETRO IVOIRE,1 151 616
04/02/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,267 026
04/02/2024,PETRO IVOIRE,715 439
03/02/2024,PETRO IVOIRE,1 042 263
03/02/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,388 937
02/02/2024,PETRO IVOIRE,1 071 161
02/02/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,399 717
30/01/2024,PETRO IVOIRE,674 557
30/01/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,207 682
27/01/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,324 689
27/01/2024,PETRO IVOIRE,1 132 201
26/01/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,336 017
26/01/2024,PETRO IVOIRE,1 123 749
20/01/2024,PETRO IVOIRE,1 091 187
20/01/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,137 360
20/01/2024,PETRO IVOIRE,346 327
20/01/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,432 117
19/01/2024,PETRO IVOIRE,1 080 001
19/01/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,420 147
13/01/2024,PETRO IVOIRE,1 099 305
13/01/2024,PETRO IVOIRE,296 367
13/01/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,414 348
13/01/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,110 587
11/01/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,408 756
11/01/2024,PETRO IVOIRE,1 085 123
07/01/2024,PETRO IVOIRE,1 122 511
07/01/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,381 648
05/01/2024,TOTALENERGIES MARKETING COTE D'IVOIRE,291 918
05/01/2024,PETRO IVOIRE,978 892
31/12/2023,PETRO IVOIRE,714 753
31/12/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,241 827
30/12/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,389 498
30/12/2023,PETRO IVOIRE,1 113 009
27/12/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,301 415
27/12/2023,PETRO IVOIRE,796 557
23/12/2023,PETRO IVOIRE,1 060 956
23/12/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,437 930
20/12/2023,PETRO IVOIRE,1 077 057
20/12/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,411 344
19/12/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,404 192
19/12/2023,PETRO IVOIRE,1 103 169
14/12/2023,PETRO IVOIRE,755 551
14/12/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,285 914
13/12/2023,PETRO IVOIRE,1 093 837
13/12/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,406 176
08/12/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,224 211
08/12/2023,PETRO IVOIRE,641 723
07/12/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,238 484
07/12/2023,PETRO IVOIRE,667 504
06/12/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,395 547
06/12/2023,PETRO IVOIRE,1 071 261
01/12/2023,PETRO IVOIRE,1 071 032
01/12/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,420 899
29/11/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,404 071
29/11/2023,PETRO IVOIRE,1 090 105
25/11/2023,PETRO IVOIRE,1 181 739
25/11/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,313 415
25/11/2023,PETRO IVOIRE,391 614
25/11/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,103 728
24/11/2023,PETRO IVOIRE,1 192 593
24/11/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,316 296
17/11/2023,PETRO IVOIRE,923 500
17/11/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,217 582
16/11/2023,PETRO IVOIRE,1 181 528
16/11/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,305 606
14/11/2023,PETRO IVOIRE,1 187 409
14/11/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,326 715
10/11/2023,PETRO IVOIRE,1 096 156
10/11/2023,PETRO IVOIRE,410 235
10/11/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,144 659
10/11/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,386 157
08/11/2023,PETRO IVOIRE,1 128 329
08/11/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,376 301
03/11/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,272 935
03/11/2023,PETRO IVOIRE,925 709
01/11/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,345 697
01/11/2023,PETRO IVOIRE,1 182 254
29/10/2023,PETRO IVOIRE,451 147
29/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,363 885
29/10/2023,PETRO IVOIRE,1 145 470
29/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,143 419
28/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,364 679
28/10/2023,PETRO IVOIRE,1 147 970
22/10/2023,PETRO IVOIRE,903 160
22/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,261 384
20/10/2023,PETRO IVOIRE,943 342
20/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,259 322
19/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,322 139
19/10/2023,PETRO IVOIRE,1 171 842
15/10/2023,PETRO IVOIRE,1 148 174
15/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,356 587
13/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,322 382
13/10/2023,PETRO IVOIRE,1 187 661
10/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,279 907
10/10/2023,PETRO IVOIRE,1 039 336
09/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,319 249
09/10/2023,PETRO IVOIRE,1 198 989
05/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,203 426
05/10/2023,PETRO IVOIRE,716 241
04/10/2023,PETRO IVOIRE,838 416
04/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,238 110
03/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,327 270
03/10/2023,PETRO IVOIRE,1 200 042
02/10/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,315 289
02/10/2023,PETRO IVOIRE,1 156 110
27/09/2023,PETRO IVOIRE,1 150 150
27/09/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,345 666
27/09/2023,PETRO IVOIRE,756 970
27/09/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,246 591
24/09/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,335 844
24/09/2023,PETRO IVOIRE,1 158 586
23/09/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,331 816
23/09/2023,TOTALENERGIES MARKETING COTE D'IVOIRE,44 643
